,Business title,zip,AM early,AM peak,Mid-day,PM peak,PM late,Type of Place,lat,lon,Total Score
2767,1# livingstons chicken kitchen,92107-3010,7,28,25,35,25,Food & Drinks,32.7473761,-117.2514385,119
2768,taka sushi restaurant,92101-6913,27,6,3,27,30,Only Drinks,32.71116,-117.1598357,93
2769,margaritas kitchen and cantina,92101-7738,7,28,25,35,25,Food & Drinks,32.7093647,-117.17183899999999,119
2770,cafe pascale,92121-3021,27,6,3,27,30,Only Drinks,32.8761583,-117.21086470000002,93
2771,boston market #1333,92111-2704,27,6,3,27,30,Only Drinks,32.820086100000005,-117.18152959999999,93
2772,mediterranean cafe,92103-2005,7,28,25,35,25,Food & Drinks,32.7501604,-117.16429879999998,119
2773,cheers,92116,27,6,3,27,30,Only Drinks,32.7622845,-117.145564,93
2774,mr fuje's ice cream truck,91977,3,25,20,18,5,Only Food,32.728685999999996,-116.972652,70
2775,cafe on park,92103-3609,7,28,25,35,25,Food & Drinks,32.747964,-117.1460878,119
2776,brockton villa restaurant,92037-3628,27,6,3,27,30,Only Drinks,32.8498645,-117.27156370000002,93
2777,starbucks coffee #5218,92109-3917,27,6,3,27,30,Only Drinks,32.7944748,-117.25455840000001,93
2778,antique row restaurant group inc,92116-1501,7,28,25,35,25,Food & Drinks,32.7630669,-117.1300003,119
2779,jimmy loves,92101-6916,7,28,25,35,25,Food & Drinks,32.712384,-117.1604138,119
